Net Square Meter,Number of Rooms,Floor Number,Heating Type,Credit Eligibility,Number of Bathrooms,Number of WC,Gross Square Meter,Building Age,Number of Floors in Building,Within Site,Balcony,house is furnished,Price,Location
105 m²,4+1,3.Kat,Klimalı,Krediye Uygun,2,,168 m²,21 Ve Üzeri,3,Hayır,,,17.500.000,İstanbul - Adalar - Nizam Mh.
300 m²,7+3,,Kombi Doğalgaz,Krediye Uygun,3,,385 m²,16-20,2,Hayır,,,38.000.000,İstanbul - Adalar - Nizam Mh.
305 m²,6+3,,Kombi Doğalgaz,Krediye Uygun,5,,380 m²,21 Ve Üzeri,2,Hayır,,Eşyalı,30.500.000,İstanbul - Adalar - Heybeliada Mh.
78 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,,90 m²,0 (Yeni),3,Hayır,,Boş,3.500.000,İstanbul - Arnavutköy - Mustafa Kemal Paşa Mh.
70 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,,78 m²,0 (Yeni),4,Hayır,,Boş,2.650.000,İstanbul - Arnavutköy - Boğazköy İstiklal Mh.
150 m²,4+2,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun,2,,165 m²,0 (Yeni),4,Hayır,,Boş,3.500.000,İstanbul - Arnavutköy - Mehmet Akif Ersoy Mh.
75 m²,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,,95 m²,0 (Yeni),5,Hayır,,,7.000.000,İstanbul - Arnavutköy - Hadımköy Mh.
80 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,,100 m²,5-10,5,Hayır,,,2.450.000,İstanbul - Arnavutköy - Yunus Emre Mh.
189 m²,1 Oda,,Sobalı,Krediye Uygun,Yok,,190 m²,11-15,2,Hayır,,,15.000.000,İstanbul - Arnavutköy - Boyalık Mh.
85 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,,100 m²,0 (Yeni),6,Hayır,Var,,3.650.000,İstanbul - Arnavutköy - Arnavutköy Merkez Mh.
270 m²,5+3,,Yerden Isıtma,Krediye Uygun,4,,370 m²,0 (Yeni),4,Hayır,,Boş,16.500.000,İstanbul - Arnavutköy - Mareşal Fevzi Çakmak Mh.
85 m²,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,,95 m²,0 (Yeni),4,Hayır,,Boş,2.550.000,İstanbul - Arnavutköy - Anadolu Mh.
135 m²,4+2,4.Kat,Kombi Doğalgaz,Krediye Uygun,2,,145 m²,0 (Yeni),5,Hayır,,Boş,4.750.000,İstanbul - Arnavutköy - Anadolu Mh.
115 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,2,2,133 m²,0 (Yeni),3,Hayır,Var,Boş,3.850.000,İstanbul - Arnavutköy - Karlıbayır Mh.
113 m²,2+1,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun,1,,115 m²,0 (Yeni),3,Hayır,,,2.750.000,İstanbul - Arnavutköy - Arnavutköy Merkez Mh.
105 m²,4+1,3.Kat,Klimalı,Krediye Uygun,2,,168 m²,21 Ve Üzeri,3,Hayır,,,17.500.000,İstanbul - Adalar - Nizam Mh.
300 m²,7+3,,Kombi Doğalgaz,Krediye Uygun,3,,385 m²,16-20,2,Hayır,,,38.000.000,İstanbul - Adalar - Nizam Mh.
95 m²,3+1,Bahçe Katı,Klimalı,Krediye Uygun,2,,215 m²,21 Ve Üzeri,3,Hayır,,Eşyalı,9.900.000,İstanbul - Adalar - Nizam Mh.
407 m²,9+ Oda,,Merkezi Doğalgaz,Krediye Uygun,6+,,484 m²,21 Ve Üzeri,2,Hayır,,Eşyalı,52.000.000,İstanbul - Adalar - Nizam Mh.
100 m²,3+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun,1,,125 m²,21 Ve Üzeri,2,Hayır,,,8.500.000,İstanbul - Adalar - Nizam Mh.
84 m²,2+1,1.Kat,Isıtma Yok,Krediye Uygun,1,,99 m²,21 Ve Üzeri,5,Hayır,,,4.950.000,İstanbul - Adalar - Nizam Mh.
71 m²,3+1,1.Kat,Klimalı,Krediye Uygun,1,,78 m²,21 Ve Üzeri,4,Hayır,,Eşyalı,6.800.000,İstanbul - Adalar - Maden Mh.
93 m²,3+1,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun,1,,115 m²,21 Ve Üzeri,3,Hayır,,,6.000.000,İstanbul - Adalar - Maden Mh.
